  YH6  ,  229,      120,        ,           , 0.13,      250.6
  YH9  ,  194,      150,        ,           , 0.10,      267.2
  YH9  ,  194,      150,        ,           , 0.13,      253.2
  YH10 ,  225,      400,        ,           , 0.10,      310.2
  YH10 ,  225,      400,        ,           , 0.13,      287.2
 LaH6  ,  167,      100,        ,           , 0.10,      170.8
 LaH6  ,  167,      100,        ,           , 0.13,      154.8
 LaH9  ,    9,       50,        ,           , 0.10,      27.99
 LaH9  ,    9,       50,        ,           , 0.13,      21.01
 CeH9  ,  194,      100,        ,           , 0.10,      53.61
 CeH9  ,  194,      100,        ,           , 0.13,      47.33
 CeH10 ,  225,      200,        ,           , 0.10,      59.75
 CeH10 ,  225,      200,        ,           , 0.13,      49.28
  YH3  ,   11,      120,   0.676,    601.310, 0.10,         19
  YH3  ,  194,      120,   0.417,   1162.113, 0.10,          6
  YH3  ,   11,      200,   0.534,    569.413, 0.10,          9
  YH3  ,  194,      200,   0.232,    658.749, 0.10,          0
  YH3  ,  139,      200,   0.270,    579.837, 0.10,          0
  YH4  ,  139,      120,   0.980,   1388.606, 0.10,         94
  YH4  ,  139,      200,   0.764,   1289.016, 0.10,         55
 LaH4  ,  139,      300,    0.43,       1624, 0.10,         10
